id;title;NF_inlink_ratio;NF_outlink_ratio;MW_generality
5955;church of england;0.001646;0.00006;0.625
6237;christmas;0.001694;0.000112;0.625
721873;christian monasticism;0.000045;0.000097;0.625
3979;baptists;0.001043;0.000037;0.625
4251;baha'i faith;0.0;0.000037;0.625
1214;anglicanism;0.001785;0.000139;0.625
1143;abbot;0.000397;0.000041;0.75
282437;vinaya;0.000066;0.000009;0.625
27886658;tripitaka;0.0;0.00001;0.5625
8574;tao te ching;0.000066;0.000026;0.625
44372;sermon on the mount;0.000096;0.000031;0.625
2945054;schuttern gospels;0.000001;0.000007;0.5625
103366;rigveda;0.00023;0.000067;0.625
274466;revised standard version;0.000026;0.000023;0.5
36922;quran;0.001138;0.000084;0.6875
30343;torah;0.000754;0.000058;0.625
22326;old testament;0.000725;0.000032;0.625
21433;new testament;0.001443;0.000156;0.625
71325;lindisfarne gospels;0.000024;0.000011;0.5625
30667;last supper;0.000142;0.00003;0.6875
767169;jerusalem bible;0.000011;0.000011;0.5
26335002;i ching;0.000115;0.000022;0.6875
520887;guru granth sahib;0.000125;0.000026;0.625
11118;first council of nicaea;0.00015;0.000061;0.625
77712;dead sea scrolls;0.000126;0.000106;0.625
4953;book of common prayer;0.000228;0.000067;0.625
3390;bible;0.002145;0.000092;0.625
16767;authorized king james version;0.000404;0.000075;0.625
1288;apocrypha;0.000158;0.000041;0.625
1957445;allegory in the middle ages;0.000015;0.000016;0.625
32788;vivien leigh;0.000094;0.000057;0.6875
157721;timothy west;0.00004;0.000037;0.6875
44735;sharon tate;0.00005;0.000055;0.6875
26709;sean connery;0.00025;0.000048;0.6875
275686;sasha dj;0.000052;0.000052;0.6875
157655;prunella scales;0.000043;0.000014;0.6875
38459;natalie portman;0.000131;0.000049;0.6875
443459;miranda otto;0.00002;0.000018;0.6875
43675;laurence olivier;0.000371;0.000098;0.625
16768;kevin spacey;0.000148;0.000051;0.6875
249897;keira knightley;0.000099;0.000042;0.6875
63520;jane fonda;0.000161;0.000056;0.6875
16273;james stewart;0.000249;0.000119;0.625
508396;jake gyllenhaal;0.000077;0.000043;0.6875
15308;ian mckellen;0.000158;0.000065;0.6875
170779;hugh grant;0.000108;0.00006;0.6875
13820;henry rollins;0.000111;0.000066;0.6875
46228;henry fonda;0.000202;0.000067;0.6875
158889;george clooney;0.000219;0.000047;0.6875
19672919;ewan mcgregor;0.000143;0.000031;0.6875
1030991;evan rachel wood;0.000047;0.000037;0.6875
